Category	P	P.adj	fdr_sig	dataset_name	z	adjusted_for	prop_sn_ps	prop_h2	prop_h2_std_error	enrichment	enrichment_std_error	enrichment_p	coefficient	coefficient_std_error
CGE interneuron	1.41816114620497e-5	2.1981497766177e-4	yes	mdd2019	4.18622497588244	CGE interneuron	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer corticothalamic and 6b	0.0362576584384828	0.086460570122536	no	mdd2019	1.79586923163684	Deep-layer corticothalamic and 6b	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer intratelencephalic	0.0100915105321039	0.031283682649522	yes	mdd2019	2.32292799241199	Deep-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Eccentric medium spiny neuron	0.0023991533791019	0.00929671934401988	yes	mdd2019	2.82027126899614	Eccentric medium spiny neuron	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA1-3	0.00175883071389515	0.00778910744724997	yes	mdd2019	2.91845898973825	Hippocampal CA1-3	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA4	0.0192781667299305	0.0498019307189872	yes	mdd2019	2.06889081753488	Hippocampal CA4	NA	NA	NA	NA	NA	NA	NA	NA
LAMP5-LHX6 and Chandelier	1.7653738010781e-4	0.00136816469583553	yes	mdd2019	3.57288135248358	LAMP5-LHX6 and Chandelier	NA	NA	NA	NA	NA	NA	NA	NA
Upper-layer intratelencephalic	0.0165749276877281	0.0467111598472336	yes	mdd2019	2.1302636185658	Upper-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Amygdala excitatory	3.3735003969559e-4	0.00130723140382043	yes	neuroticism	3.39965872146541	Amygdala excitatory	NA	NA	NA	NA	NA	NA	NA	NA
CGE interneuron	0.00208229631747536	0.00537410192676758	yes	neuroticism	2.86541788732357	CGE interneuron	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer corticothalamic and 6b	1.4372311429122e-4	8.9108330860561e-4	yes	neuroticism	3.62635848875581	Deep-layer corticothalamic and 6b	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer intratelencephalic	1.19167344458937e-6	3.69418767822705e-5	yes	neuroticism	4.71786317616545	Deep-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Eccentric medium spiny neuron	2.2963319018298e-4	0.00109212269841896	yes	neuroticism	3.50345376243751	Eccentric medium spiny neuron	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA1-3	0.00107947730521996	0.00371819960686874	yes	neuroticism	3.0674473895627	Hippocampal CA1-3	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA4	0.0100715234365337	0.0195135766582841	yes	neuroticism	2.3236726224	Hippocampal CA4	NA	NA	NA	NA	NA	NA	NA	NA
LAMP5-LHX6 and Chandelier	2.4660835125589e-4	0.00109212269841896	yes	neuroticism	3.48441358424918	LAMP5-LHX6 and Chandelier	NA	NA	NA	NA	NA	NA	NA	NA
Upper-layer intratelencephalic	9.18942610088624e-5	7.1218052281868e-4	yes	neuroticism	3.7403167186506	Upper-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Amygdala excitatory	3.90867502987335e-5	2.8769964053567e-4	yes	scz2022_eur	3.94993168907556	Amygdala excitatory	NA	NA	NA	NA	NA	NA	NA	NA
CGE interneuron	2.27892256998707e-6	3.53232998347997e-5	yes	scz2022_eur	4.58417403036652	CGE interneuron	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer corticothalamic and 6b	6.1201961805457e-4	0.00237157601996146	yes	scz2022_eur	3.23321845207454	Deep-layer corticothalamic and 6b	NA	NA	NA	NA	NA	NA	NA	NA
Deep-layer intratelencephalic	1.27103868217127e-5	1.3134066382436e-4	yes	scz2022_eur	4.21103110631199	Deep-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Eccentric medium spiny neuron	4.6403167828335e-5	2.8769964053567e-4	yes	scz2022_eur	3.90866816520611	Eccentric medium spiny neuron	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA1-3	8.11679422452194e-7	2.5162062096018e-5	yes	scz2022_eur	4.79541810077925	Hippocampal CA1-3	NA	NA	NA	NA	NA	NA	NA	NA
Hippocampal CA4	6.75399291034662e-5	3.489563003679e-4	yes	scz2022_eur	3.81700787885428	Hippocampal CA4	NA	NA	NA	NA	NA	NA	NA	NA
LAMP5-LHX6 and Chandelier	0.00241445617845448	0.00831646017023211	yes	scz2022_eur	2.81823054292895	LAMP5-LHX6 and Chandelier	NA	NA	NA	NA	NA	NA	NA	NA
Upper-layer intratelencephalic	5.4027910054377e-4	0.00237157601996146	yes	scz2022_eur	3.26866587421277	Upper-layer intratelencephalic	NA	NA	NA	NA	NA	NA	NA	NA
Amygdala excitatory	2.9949659541528284e-4	0.00119798638166113	yes	bip2021	3.432069881705442	CGE interneuron	0.1528769824794138	0.22580575963240612	0.0142185751389356	1.4770422333709576	0.09300664435112238	1.7876184135733956e-6	4.1632860957545724e-9	1.2130539992634936e-9
Amygdala excitatory	5.560434085224442e-4	0.00148278242272651	yes	bip2021	3.2605185778226593	Deep-layer corticothalamic and 6b	0.1528769824794138	0.22651252436975192	0.01455477667564214	1.481665327874023	0.0952058082229748	2.412065446300832e-6	4.192964188081158e-9	1.285980769010424e-9
Amygdala excitatory	0.02161246606549027	0.02161246606549027	yes	bip2021	2.021529979808184	Deep-layer intratelencephalic	0.1528769824794138	0.22646079101598085	0.01439863340542153	1.481326929294119	0.09418444275848024	1.7172588034196843e-6	2.554586718092575e-9	1.263689751628106e-9
Amygdala excitatory	0.00123584490577199	0.00237129085875107	yes	bip2021	3.026785871208288	Eccentric medium spiny neuron	0.1528769824794138	0.22660762219916905	0.01435375871231271	1.4822873824689973	0.09389090809825196	1.6949182842137508e-6	3.693491623814025e-9	1.220268555812833e-9
Amygdala excitatory	0.00563622134925445	0.00751496179900594	yes	bip2021	2.5341376962803195	Hippocampal CA1-3	0.1528769824794138	0.22614560303411135	0.01450554426015663	1.47926521943592	0.09488376879828808	2.4073763907265795e-6	3.4347699200625102e-9	1.3553998762988155e-9
Amygdala excitatory	0.00148205678671942	0.00237129085875107	yes	bip2021	2.971435263057326	Hippocampal CA4	0.1528769824794138	0.22615130923863183	0.01441803659426491	1.4793025449013233	0.0943113630346964	2.121493999715901e-6	3.754107526619993e-9	1.2633987262967899e-9
Amygdala excitatory	2.81336292723422e-4	0.00119798638166113	yes	bip2021	3.448997176541406	LAMP5-LHX6 and Chandelier	0.1528769824794138	0.22536527945781035	0.01427928770682821	1.474160961334763	0.0934037778300016	2.143251499444775e-6	4.210885221377759e-9	1.2209013245990422e-9
Amygdala excitatory	0.01155006466075125	0.01320007389800143	yes	bip2021	2.271774573882491	Upper-layer intratelencephalic	0.1528769824794138	0.2260051423844162	0.01448772536232998	1.4783464372398227	0.0947672116976856	2.3481998099252673e-6	3.175428061845457e-9	1.397774276705021e-9
CGE interneuron	0.00177882806365692	0.00261044665179236	yes	bip2021	2.9149323835767564	Amygdala excitatory	0.12305912323425695	0.1844833875582651	0.01185452401586086	1.499144335744048	0.09633193951247672	8.710980481305234e-7	3.431261851665736e-9	1.1771325712383832e-9
CGE interneuron	9.996558781016909e-4	0.00261044665179236	yes	bip2021	3.0903345238821944	Deep-layer corticothalamic and 6b	0.12305912323425695	0.1845565534219621	0.01202337903430374	1.499738894373868	0.09770408498210964	1.2113791866828587e-6	3.6769265718904413e-9	1.1898150648336118e-9
CGE interneuron	0.00185587032816481	0.00261044665179236	yes	bip2021	2.901674436454037	Deep-layer intratelencephalic	0.12305912323425695	0.18563191731962944	0.01195135291260645	1.508477489850615	0.0971187880955051	6.519883017509766e-7	3.45378589056342e-9	1.1902733977227595e-9
CGE interneuron	0.00361587535980001	0.00361587535980001	yes	bip2021	2.6859795854003568	Eccentric medium spiny neuron	0.12305912323425695	0.1846033376716187	0.01184305527262404	1.5001190713849422	0.09623874249517812	8.562106134819199e-7	3.179238132265047e-9	1.183641956754175e-9
CGE interneuron	0.00134868049903302	0.00261044665179236	yes	bip2021	3.0002748367051755	Hippocampal CA1-3	0.12305912323425695	0.18487838010375923	0.01208670518299372	1.5023541143863208	0.0982186843634934	1.1298185346018754e-6	3.5932244889528734e-9	1.1976317785936106e-9
CGE interneuron	0.00101235472807414	0.00261044665179236	yes	bip2021	3.086583685044934	Hippocampal CA4	0.12305912323425695	0.18503857369043455	0.01203662427346896	1.503655875543601	0.09781171811663156	1.0450559243286955e-6	3.6602626197005077e-9	1.185862102957115e-9
CGE interneuron	0.00323123286447046	0.00361587535980001	yes	bip2021	2.723344361940232	LAMP5-LHX6 and Chandelier	0.12305912323425695	0.18420816658170344	0.01194843975424228	1.4969078418594155	0.0970951152601427	1.1686545126493912e-6	3.403326984838614e-9	1.2496866104784235e-9
CGE interneuron	0.00195783498884427	0.00261044665179236	yes	bip2021	2.884876691791322	Upper-layer intratelencephalic	0.12305912323425695	0.1843745532338385	0.01201124668267811	1.49825992895188	0.09760549536675434	1.172880642187367e-6	3.439179849520608e-9	1.192141022632444e-9
Deep-layer corticothalamic and 6b	0.21048150986195105	0.24055029698508687	no	bip2021	0.8047516291774803	Amygdala excitatory	0.14169744507737506	0.18899207707445784	0.01236241715016405	1.3337719460732491	0.0872451662301565	2.21373505182e-4	9.067318964464891e-10	1.1267226602240502e-9
Deep-layer corticothalamic and 6b	0.03095148071799391	0.12380592287197568	no	bip2021	1.8669901639878987	CGE interneuron	0.14169744507737506	0.1883015047413652	0.01209029179309173	1.328898376668271	0.08532469859629248	1.971429468175e-4	1.988620542023219e-9	1.0651478408303542e-9
Deep-layer corticothalamic and 6b	0.5483650763585322	0.5483650763585322	no	bip2021	-0.1215317764281018	Deep-layer intratelencephalic	0.14169744507737506	0.18913519208573393	0.01237841997141953	1.3347819502493858	0.0873581027848469	2.1929728858072e-4	-1.4261439061771188e-10	1.1734740889110803e-9
Deep-layer corticothalamic and 6b	0.06577607893657567	0.17540287716420178	no	bip2021	1.5080092568031345	Eccentric medium spiny neuron	0.14169744507737506	0.18943359898821788	0.01216633030784222	1.3368878943778846	0.08586132446635644	1.5383092797308e-4	1.6399163447363472e-9	1.0874710067846972e-9
Deep-layer corticothalamic and 6b	0.1589703286093478	0.23752563821555395	no	bip2021	0.9986987276544104	Hippocampal CA1-3	0.14169744507737506	0.18881890428817927	0.01230780298374674	1.33254981545414	0.08685973820506054	2.1441267396843e-4	1.152075812951662e-9	1.153576930710105e-9
Deep-layer corticothalamic and 6b	0.09847729305755504	0.19695458611511008	no	bip2021	1.290276750841496	Hippocampal CA4	0.14169744507737506	0.18853483437109492	0.01227231831521198	1.3305450515931598	0.08660931259918334	2.2646036004666e-4	1.4360296651992431e-9	1.1129625208411212e-9
Deep-layer corticothalamic and 6b	0.02640924988185722	0.12380592287197568	no	bip2021	1.9364018771594167	LAMP5-LHX6 and Chandelier	0.14169744507737506	0.18792018123655296	0.01219010525205448	1.32620726600919	0.08602911114874358	2.4801366035503e-4	2.061008266014252e-9	1.0643494464267022e-9
Deep-layer corticothalamic and 6b	0.17814422866166546	0.23752563821555395	no	bip2021	0.9224604376861748	Upper-layer intratelencephalic	0.14169744507737506	0.18875571304947145	0.01246807007023403	1.332103856540249	0.08799078955464401	2.6685226211613e-4	1.0372555768252464e-9	1.124444512142997e-9
Deep-layer intratelencephalic	2.030482390177335e-4	2.3205513030598112e-4	yes	bip2021	3.5360898963081926	Amygdala excitatory	0.13561372880676392	0.21965508978250192	0.01291593614560426	1.619711305892109	0.09524062393423448	3.944192005176526e-9	4.389290142354459e-9	1.2412835281526746e-9
Deep-layer intratelencephalic	3.928726001189986e-6	1.7915794104705896e-5	yes	bip2021	4.46903160858865	CGE interneuron	0.13561372880676392	0.22001001866301104	0.01276083984806219	1.6223285105337928	0.09409696171871446	2.444471798066513e-9	5.368055537470144e-9	1.2011675028553695e-9
Deep-layer intratelencephalic	9.931241295890736e-6	2.3500011260724207e-5	yes	bip2021	4.266431069274273	Deep-layer corticothalamic and 6b	0.13561372880676392	0.21982969095345775	0.01307949423151068	1.6209987947952764	0.09644668240151157	5.940205213039438e-9	5.679544057617284e-9	1.3312166458096282e-9
Deep-layer intratelencephalic	1.1750005630362104e-5	2.3500011260724207e-5	yes	bip2021	4.228743470269447	Eccentric medium spiny neuron	0.13561372880676392	0.2202898155422165	0.01289672410664492	1.62439170046056	0.09509895657409044	3.024825193236178e-9	5.108686468376287e-9	1.208086161833499e-9
Deep-layer intratelencephalic	1.2440375097588774e-4	1.658716679678503e-4	yes	bip2021	3.6634842705141346	Hippocampal CA1-3	0.13561372880676392	0.21966673960609745	0.01307412065075974	1.619797210348081	0.09640705823662632	6.067829440307931e-9	4.793054420971709e-9	1.3083321960869372e-9
Deep-layer intratelencephalic	3.46692148975869e-5	5.547074383613904e-5	yes	bip2021	3.978544517593177	Hippocampal CA4	0.13561372880676392	0.21968129970691455	0.01298364582175024	1.619904574852732	0.09573990727923017	4.884132293792981e-9	5.012949442189268e-9	1.2599958150579784e-9
Deep-layer intratelencephalic	4.478948526176474e-6	1.7915794104705896e-5	yes	bip2021	4.440910687038221	LAMP5-LHX6 and Chandelier	0.13561372880676392	0.2196564818266572	0.01286521759709681	1.619721570665208	0.09486663120537352	3.4949174485406803e-9	5.424932489515219e-9	1.2215810836613048e-9
Deep-layer intratelencephalic	6.17949852549815e-4	6.17949852549815e-4	yes	bip2021	3.2304628361147785	Upper-layer intratelencephalic	0.13561372880676392	0.22009559771175025	0.01307107740949424	1.622959560571958	0.09638461772641936	4.954067057169375e-9	4.658566610222971e-9	1.4420740452862623e-9
Eccentric medium spiny neuron	0.002545020953711	0.002545020953711	yes	bip2021	2.8012794593631134	Amygdala excitatory	0.13994057195924484	0.20961620119123403	0.01199488373765719	1.4978944151541769	0.08571412542997525	8.109020969685781e-8	3.025803333876144e-9	1.080150473299825e-9
Eccentric medium spiny neuron	7.546601378356499e-4	0.00130091411046038	yes	bip2021	3.172885516275387	CGE interneuron	0.13994057195924484	0.2092022396180385	0.01192166351044616	1.4949362910919417	0.08519090170589079	8.2288761910016e-8	3.472977896726333e-9	1.0945802736693824e-9
Eccentric medium spiny neuron	3.409584791950193e-4	0.00129005685593449	yes	bip2021	3.3967481534988195	Deep-layer corticothalamic and 6b	0.13994057195924484	0.2100756262930352	0.01203606459975644	1.50117741661236	0.086008399360135	7.53783231646066e-8	3.761898486066169e-9	1.1074999723459703e-9
Eccentric medium spiny neuron	0.00164825532830958	0.00188372037521095	yes	bip2021	2.9386443912885323	Deep-layer intratelencephalic	0.13994057195924484	0.20985311631264217	0.01209083006239792	1.4995873846632417	0.08639974735789387	8.13828857964774e-8	3.2269356116945652e-9	1.098103472900858e-9
Eccentric medium spiny neuron	8.130713190377392e-4	0.00130091411046038	yes	bip2021	3.151176368386468	Hippocampal CA1-3	0.13994057195924484	0.2096669489990199	0.0120801542969204	1.4982570534303776	0.08632345950707226	8.56692365816323e-8	3.4043513180508083e-9	1.0803429957790575e-9
Eccentric medium spiny neuron	4.837713209754346e-4	0.00129005685593449	yes	bip2021	3.299798519999849	Hippocampal CA4	0.13994057195924484	0.2098994436749092	0.01210291249973118	1.4999184349199215	0.08648608713172859	8.74313177842176e-8	3.606240750125293e-9	1.0928669518057295e-9
Eccentric medium spiny neuron	4.141908169519315e-4	0.00129005685593449	yes	bip2021	3.3431330782910247	LAMP5-LHX6 and Chandelier	0.13994057195924484	0.2091448861114986	0.0119554878876177	1.494526449215945	0.0854326070004882	8.172743019654363e-8	3.7250940128821383e-9	1.1142523871010151e-9
Eccentric medium spiny neuron	0.00160771662609748	0.00188372037521095	yes	bip2021	2.9463548167700893	Upper-layer intratelencephalic	0.13994057195924484	0.20958646706677864	0.01214283453101431	1.4976819383574973	0.08677136559475185	1.0007548685747108e-7	3.299648116609307e-9	1.1199086063322515e-9
Hippocampal CA1-3	0.03213562779044376	0.03396243867946891	yes	bip2021	1.8502935236868028	Amygdala excitatory	0.13993486837039576	0.2034089292226416	0.01279920259999472	1.4535971741098537	0.09146542780257112	2.3944788180777955e-6	2.391043482637443e-9	1.29225090615524e-9
Hippocampal CA1-3	8.543718230170638e-4	0.00404626441917521	yes	bip2021	3.136676822187978	CGE interneuron	0.13993486837039576	0.20355073621347855	0.01286276518342541	1.454610552637224	0.09191965757511386	2.495712951764247e-6	3.699339846394749e-9	1.1793818923985567e-9
Hippocampal CA1-3	0.00241935829109296	0.00483871658218593	yes	bip2021	2.81757928958222	Deep-layer corticothalamic and 6b	0.13993486837039576	0.20375596127063383	0.01299688013975963	1.456077128191589	0.09287806742603988	3.1019879095932384e-6	3.5646399431532852e-9	1.265142726003582e-9
Hippocampal CA1-3	0.03396243867946891	0.03396243867946891	yes	bip2021	1.8255048673092384	Deep-layer intratelencephalic	0.13993486837039576	0.20352874504078253	0.01293758580047652	1.4544533997206412	0.09245433930185168	2.862074316085071e-6	2.314918607467892e-9	1.268097745956734e-9
Hippocampal CA1-3	0.00208763335222927	0.00483871658218593	yes	bip2021	2.864607301578606	Eccentric medium spiny neuron	0.13993486837039576	0.2039212377489744	0.01273189478222604	1.4572582239418137	0.0909844339048206	1.6845690189055644e-6	3.300840693218232e-9	1.1522838370897222e-9
Hippocampal CA1-3	0.01771087585028241	0.02361450113370988	yes	bip2021	2.103503820215641	Hippocampal CA4	0.13993486837039576	0.2031536908118332	0.01287288961205601	1.4517731940412633	0.09199200858203949	2.9561026837437018e-6	2.902552996860903e-9	1.379865807214625e-9
Hippocampal CA1-3	0.0010115661047938	0.00404626441917521	yes	bip2021	3.086815358520201	LAMP5-LHX6 and Chandelier	0.13993486837039576	0.20324462983117095	0.01289754860492107	1.452423060799969	0.09216822622637806	2.8898681685398855e-6	3.713853268490914e-9	1.203134245862801e-9
Hippocampal CA1-3	0.01196748156350091	0.01914797050160146	yes	bip2021	2.2581715999159715	Upper-layer intratelencephalic	0.13993486837039576	0.20358097980137244	0.01291755642589127	1.4548266788125372	0.09231120575108984	2.639890605659478e-6	2.829426312245983e-9	1.2529722330894907e-9
Hippocampal CA4	0.02380286613776705	0.03173715485035607	yes	bip2021	1.9808710867534836	Amygdala excitatory	0.13866112277830536	0.1992150965427508	0.01187800203436502	1.4367047702423452	0.08566209328447348	1.059133400395347e-6	2.19338314336725e-9	1.1072821235237775e-9
Hippocampal CA4	0.00119611269030472	0.00623051664799168	yes	bip2021	3.0366506446170085	CGE interneuron	0.13866112277830536	0.19982668790432595	0.01195652959775693	1.4411154612083557	0.08622842046990573	1.1114402985895344e-6	3.2899499109139647e-9	1.0834140294491803e-9
Hippocampal CA4	0.00311525832399584	0.00623051664799168	yes	bip2021	2.7353965527798145	Deep-layer corticothalamic and 6b	0.13866112277830536	0.19975295085863928	0.01207627084746582	1.4405836824068483	0.08709197362243812	1.4080764300537489e-6	3.09248699951815e-9	1.1305443067753543e-9
Hippocampal CA4	0.02964744660746288	0.03388279612281471	yes	bip2021	1.8860004559622872	Deep-layer intratelencephalic	0.13866112277830536	0.19933367007738512	0.01182677949371899	1.4375599020360197	0.0852926851935847	9.058806931913344e-7	2.103437142218303e-9	1.115289837586531e-9
Hippocampal CA4	0.00296381577618887	0.00623051664799168	yes	bip2021	2.751757951967406	Eccentric medium spiny neuron	0.13866112277830536	0.20017297697436276	0.01196128587467606	1.4436128380007711	0.08626272191521228	8.819199381922588e-7	2.9739172425763555e-9	1.0807335872147163e-9
Hippocampal CA4	0.06023981893174313	0.06023981893174313	no	bip2021	1.552763532574937	Hippocampal CA1-3	0.13866112277830536	0.19906504138682132	0.01203193142531448	1.435622598448818	0.08677220538990886	1.5137347057471377e-6	1.9912635101910412e-9	1.2823997140691103e-9
Hippocampal CA4	0.00160469079787528	0.00623051664799168	yes	bip2021	2.9469374074960935	LAMP5-LHX6 and Chandelier	0.13866112277830536	0.1991478628802214	0.01198526537234366	1.436219892713718	0.08643565789890499	1.4045124539726164e-6	3.226464004008933e-9	1.09485325199029e-9
Hippocampal CA4	0.0095091143486683	0.01521458295786928	yes	bip2021	2.345173473802909	Upper-layer intratelencephalic	0.13866112277830536	0.19943131670220404	0.0119571869640051	1.4382641125808528	0.08623316128142518	1.1424114664664769e-6	2.587826524915095e-9	1.103469126622306e-9
LAMP5-LHX6 and Chandelier	0.04580173091145623	0.06385604575344571	no	bip2021	1.6869994286343422	Amygdala excitatory	0.13366159164685928	0.1824542291659585	0.01076645040462574	1.3650460608610124	0.08055006881162427	1.1548368285409034e-5	1.6950277911193095e-9	1.0047589598127287e-9
LAMP5-LHX6 and Chandelier	0.19195131233056517	0.19195131233056517	no	bip2021	0.8707281128874357	CGE interneuron	0.13366159164685928	0.1834248370963989	0.01092620506119134	1.3723077425339707	0.08174528618557032	1.1941662064220451e-5	9.212566108695696e-10	1.0580301672063576e-9
LAMP5-LHX6 and Chandelier	0.01900752403585381	0.06385604575344571	no	bip2021	2.0746924445439596	Deep-layer corticothalamic and 6b	0.13366159164685928	0.1829656622199653	0.01098774393208911	1.3688723885869165	0.08220569422156289	1.5202394296368831e-5	2.081707690970853e-9	1.0033813428324483e-9
LAMP5-LHX6 and Chandelier	0.04813914381008089	0.06385604575344571	no	bip2021	1.6631706164467814	Deep-layer intratelencephalic	0.13366159164685928	0.18379837042145147	0.01088664058994421	1.375102362293097	0.0814492813964633	8.347592008382188e-6	1.710056736621758e-9	1.028190805989072e-9
LAMP5-LHX6 and Chandelier	0.05587404003426499	0.06385604575344571	no	bip2021	1.590384863674739	Eccentric medium spiny neuron	0.13366159164685928	0.18325786321878665	0.01082898156179928	1.37105851397433	0.0810179007175824	9.529326571047966e-6	1.6408708984490664e-9	1.0317445392794262e-9
LAMP5-LHX6 and Chandelier	0.03472798038670288	0.06385604575344571	no	bip2021	1.8154423310009296	Hippocampal CA1-3	0.13366159164685928	0.18319494065006944	0.01093792573813634	1.3705877536912756	0.08183297537736119	1.18445890160195e-5	1.879080154702818e-9	1.0350536189529095e-9
LAMP5-LHX6 and Chandelier	0.0340935799496852	0.06385604575344571	no	bip2021	1.8237679582659976	Hippocampal CA4	0.13366159164685928	0.1828629454054812	0.01097551226559184	1.3681039044381154	0.08211418202014013	1.4612669282501012e-5	1.858568598029408e-9	1.019081725614095e-9
LAMP5-LHX6 and Chandelier	0.04943743777791898	0.06385604575344571	no	bip2021	1.6503328570602978	Upper-layer intratelencephalic	0.13366159164685928	0.18317014140701957	0.01108379675624307	1.370402216150204	0.08292432118814677	1.5188455411022164e-5	1.707818554776556e-9	1.0348327899249704e-9
Upper-layer intratelencephalic	0.02442045018467009	0.02790908592533725	yes	bip2021	1.969977926818277	Amygdala excitatory	0.1266802311429707	0.1947952782289975	0.01302150964271112	1.5376927913018448	0.10279038430246557	1.421282855651985e-6	2.820019744482681e-9	1.4314981432494075e-9
